Name,Accuracy,Sample size
ants,0.704$\pm$0.172,27.0
bamboo,0.926$\pm$0.099,27.0
birds,0.778$\pm$0.192,18.0
boiling\_water\_1,0.963$\pm$0.071,27.0
boiling\_water\_2,1.0$\pm$0.0,27.0
calm\_water,0.762$\pm$0.182,21.0
calm\_water\_2,0.706$\pm$0.217,17.0
calm\_water\_3,0.781$\pm$0.143,32.0
calm\_water\_4,0.682$\pm$0.195,22.0
calm\_water\_5,0.786$\pm$0.152,28.0
calm\_water\_6,0.658$\pm$0.151,38.0
candle\_flame,0.968$\pm$0.062,31.0
candy\_1,0.952$\pm$0.091,21.0
candy\_2,0.741$\pm$0.165,27.0
coral,0.828$\pm$0.137,29.0
cranberries,0.524$\pm$0.214,21.0
escalator,0.815$\pm$0.147,27.0
fireplace\_1,1.0$\pm$0.0,26.0
fish,0.5$\pm$0.179,30.0
flag,1.0$\pm$0.0,21.0
flag\_2,0.966$\pm$0.066,29.0
flames,0.833$\pm$0.133,30.0
flushing\_water,1.0$\pm$0.0,18.0
fountain\_1,0.808$\pm$0.151,26.0
fountain\_2,0.933$\pm$0.089,30.0
fur,0.667$\pm$0.218,18.0
grass\_1,0.826$\pm$0.155,23.0
grass\_2,0.813$\pm$0.135,32.0
grass\_3,0.889$\pm$0.119,27.0
ink,0.87$\pm$0.138,23.0
lava,0.652$\pm$0.195,23.0
plants,0.96$\pm$0.077,25.0
sea\_1,0.88$\pm$0.127,25.0
sea\_2,0.808$\pm$0.151,26.0
shiny\_circles,0.652$\pm$0.195,23.0
shower\_water\_1,0.889$\pm$0.145,18.0
sky\_clouds\_1,0.714$\pm$0.15,35.0
sky\_clouds\_2,0.962$\pm$0.074,26.0
smoke\_1,0.588$\pm$0.165,34.0
smoke\_2,0.63$\pm$0.182,27.0
smoke\_3,1.0$\pm$0.0,22.0
smoke\_plume\_1,0.87$\pm$0.138,23.0
snake\_1,1.0$\pm$0.0,24.0
snake\_2,0.88$\pm$0.127,25.0
snake\_3,0.964$\pm$0.069,28.0
snake\_4,0.852$\pm$0.134,27.0
snake\_5,1.0$\pm$0.0,23.0
tv\_static,0.333$\pm$0.178,27.0
underwater\_vegetation\_1,0.821$\pm$0.142,28.0
water\_1,0.394$\pm$0.167,33.0
water\_4,0.917$\pm$0.111,24.0
water\_2,0.7$\pm$0.164,30.0
water\_3,0.682$\pm$0.195,22.0
water\_5,0.667$\pm$0.189,24.0
waterfall,0.833$\pm$0.133,30.0
waterfall\_2,0.452$\pm$0.175,31.0
