Name,Accuracy,Sample size
ants,1.0$\pm$0.0,24.0
bamboo,1.0$\pm$0.0,24.0
birds,0.9$\pm$0.131,20.0
boiling\_water\_1,0.92$\pm$0.106,25.0
boiling\_water\_2,0.857$\pm$0.183,14.0
calm\_water,0.952$\pm$0.091,21.0
calm\_water\_2,1.0$\pm$0.0,21.0
calm\_water\_3,0.955$\pm$0.087,22.0
calm\_water\_4,1.0$\pm$0.0,20.0
calm\_water\_5,1.0$\pm$0.0,16.0
calm\_water\_6,1.0$\pm$0.0,18.0
candle\_flame,1.0$\pm$0.0,21.0
candy\_1,0.846$\pm$0.139,26.0
candy\_2,0.96$\pm$0.077,25.0
coral,0.941$\pm$0.112,17.0
cranberries,0.867$\pm$0.172,15.0
escalator,1.0$\pm$0.0,22.0
fireplace\_1,0.929$\pm$0.095,28.0
fish,1.0$\pm$0.0,23.0
flag,1.0$\pm$0.0,27.0
flag\_2,1.0$\pm$0.0,18.0
flames,0.826$\pm$0.155,23.0
flushing\_water,0.8$\pm$0.157,25.0
fountain\_1,0.762$\pm$0.182,21.0
fountain\_2,1.0$\pm$0.0,12.0
fur,1.0$\pm$0.0,24.0
grass\_1,1.0$\pm$0.0,19.0
grass\_2,0.95$\pm$0.096,20.0
grass\_3,1.0$\pm$0.0,29.0
ink,1.0$\pm$0.0,20.0
lava,0.906$\pm$0.101,32.0
plants,1.0$\pm$0.0,26.0
sea\_1,1.0$\pm$0.0,24.0
sea\_2,1.0$\pm$0.0,25.0
shiny\_circles,0.8$\pm$0.202,15.0
shower\_water\_1,1.0$\pm$0.0,26.0
sky\_clouds\_1,1.0$\pm$0.0,16.0
sky\_clouds\_2,0.933$\pm$0.126,15.0
smoke\_1,0.944$\pm$0.106,18.0
smoke\_2,0.947$\pm$0.1,19.0
smoke\_3,1.0$\pm$0.0,24.0
smoke\_plume\_1,0.955$\pm$0.087,22.0
snake\_1,1.0$\pm$0.0,15.0
snake\_2,1.0$\pm$0.0,13.0
snake\_3,1.0$\pm$0.0,24.0
snake\_4,0.95$\pm$0.096,20.0
snake\_5,1.0$\pm$0.0,28.0
tv\_static,0.55$\pm$0.218,20.0
underwater\_vegetation\_1,1.0$\pm$0.0,26.0
water\_1,0.889$\pm$0.145,18.0
water\_4,1.0$\pm$0.0,20.0
water\_2,1.0$\pm$0.0,17.0
water\_3,1.0$\pm$0.0,18.0
water\_5,1.0$\pm$0.0,20.0
waterfall,0.929$\pm$0.095,28.0
waterfall\_2,0.773$\pm$0.175,22.0
