Name,Accuracy,Sample size
ants,0.625$\pm$0.194,24.0
bamboo,0.769$\pm$0.162,26.0
birds,0.609$\pm$0.199,23.0
boiling\_water\_1,0.806$\pm$0.139,31.0
boiling\_water\_2,0.533$\pm$0.252,15.0
calm\_water,0.607$\pm$0.181,28.0
calm\_water\_2,0.44$\pm$0.195,25.0
calm\_water\_3,0.813$\pm$0.135,32.0
calm\_water\_4,0.727$\pm$0.186,22.0
calm\_water\_5,0.609$\pm$0.199,23.0
calm\_water\_6,0.6$\pm$0.248,15.0
candle\_flame,0.806$\pm$0.139,31.0
candy\_1,0.81$\pm$0.168,21.0
candy\_2,0.5$\pm$0.219,20.0
coral,0.591$\pm$0.205,22.0
cranberries,0.48$\pm$0.196,25.0
escalator,0.792$\pm$0.162,24.0
fireplace\_1,0.909$\pm$0.12,22.0
fish,0.571$\pm$0.212,21.0
flag,1.0$\pm$0.0,28.0
flag\_2,0.964$\pm$0.069,28.0
flames,0.72$\pm$0.176,25.0
flushing\_water,0.5$\pm$0.209,22.0
fountain\_1,0.435$\pm$0.203,23.0
fountain\_2,0.929$\pm$0.095,28.0
fur,0.452$\pm$0.175,31.0
grass\_1,0.813$\pm$0.135,32.0
grass\_2,0.632$\pm$0.217,19.0
grass\_3,0.8$\pm$0.175,20.0
ink,0.476$\pm$0.214,21.0
lava,0.458$\pm$0.199,24.0
plants,0.632$\pm$0.217,19.0
sea\_1,0.6$\pm$0.192,25.0
sea\_2,0.542$\pm$0.199,24.0
shiny\_circles,0.517$\pm$0.182,29.0
shower\_water\_1,0.767$\pm$0.151,30.0
sky\_clouds\_1,0.667$\pm$0.202,21.0
sky\_clouds\_2,0.792$\pm$0.162,24.0
smoke\_1,0.538$\pm$0.192,26.0
smoke\_2,0.478$\pm$0.204,23.0
smoke\_3,0.769$\pm$0.162,26.0
smoke\_plume\_1,0.724$\pm$0.163,29.0
snake\_1,0.862$\pm$0.126,29.0
snake\_2,0.72$\pm$0.176,25.0
snake\_3,0.643$\pm$0.177,28.0
snake\_4,0.643$\pm$0.177,28.0
snake\_5,0.826$\pm$0.155,23.0
tv\_static,0.538$\pm$0.192,26.0
underwater\_vegetation\_1,0.656$\pm$0.165,32.0
water\_1,0.556$\pm$0.23,18.0
water\_4,0.375$\pm$0.237,16.0
water\_2,0.632$\pm$0.217,19.0
water\_3,0.545$\pm$0.208,22.0
water\_5,0.688$\pm$0.161,32.0
waterfall,0.571$\pm$0.183,28.0
waterfall\_2,0.444$\pm$0.187,27.0
