Name,Accuracy,Sample size
ants,1.0$\pm$0.0,21.0
bamboo,1.0$\pm$0.0,26.0
birds,0.913$\pm$0.115,23.0
boiling\_water\_1,0.952$\pm$0.091,21.0
boiling\_water\_2,0.889$\pm$0.145,18.0
calm\_water,1.0$\pm$0.0,28.0
calm\_water\_2,1.0$\pm$0.0,25.0
calm\_water\_3,0.96$\pm$0.077,25.0
calm\_water\_4,1.0$\pm$0.0,16.0
calm\_water\_5,0.944$\pm$0.106,18.0
calm\_water\_6,1.0$\pm$0.0,23.0
candle\_flame,1.0$\pm$0.0,19.0
candy\_1,0.81$\pm$0.168,21.0
candy\_2,0.952$\pm$0.091,21.0
coral,1.0$\pm$0.0,19.0
cranberries,0.95$\pm$0.096,20.0
escalator,1.0$\pm$0.0,19.0
fireplace\_1,0.947$\pm$0.1,19.0
fish,1.0$\pm$0.0,14.0
flag,1.0$\pm$0.0,24.0
flag\_2,1.0$\pm$0.0,19.0
flames,0.917$\pm$0.111,24.0
flushing\_water,0.906$\pm$0.101,32.0
fountain\_1,0.818$\pm$0.161,22.0
fountain\_2,1.0$\pm$0.0,30.0
fur,1.0$\pm$0.0,19.0
grass\_1,0.958$\pm$0.08,24.0
grass\_2,1.0$\pm$0.0,20.0
grass\_3,1.0$\pm$0.0,18.0
ink,1.0$\pm$0.0,25.0
lava,1.0$\pm$0.0,21.0
plants,0.958$\pm$0.08,24.0
sea\_1,0.958$\pm$0.08,24.0
sea\_2,0.968$\pm$0.062,31.0
shiny\_circles,0.96$\pm$0.077,25.0
shower\_water\_1,1.0$\pm$0.0,18.0
sky\_clouds\_1,1.0$\pm$0.0,21.0
sky\_clouds\_2,0.96$\pm$0.077,25.0
smoke\_1,0.929$\pm$0.095,28.0
smoke\_2,1.0$\pm$0.0,24.0
smoke\_3,1.0$\pm$0.0,15.0
smoke\_plume\_1,1.0$\pm$0.0,16.0
snake\_1,1.0$\pm$0.0,27.0
snake\_2,1.0$\pm$0.0,18.0
snake\_3,0.905$\pm$0.126,21.0
snake\_4,1.0$\pm$0.0,18.0
snake\_5,1.0$\pm$0.0,17.0
tv\_static,0.76$\pm$0.167,25.0
underwater\_vegetation\_1,1.0$\pm$0.0,26.0
water\_1,1.0$\pm$0.0,18.0
water\_4,0.909$\pm$0.12,22.0
water\_2,0.955$\pm$0.087,22.0
water\_3,0.875$\pm$0.132,24.0
water\_5,0.933$\pm$0.089,30.0
waterfall,0.926$\pm$0.099,27.0
waterfall\_2,0.905$\pm$0.126,21.0
