Name,Accuracy,Sample size
ants,0.933$\pm$0.126,15.0
bamboo,1.0$\pm$0.0,23.0
birds,0.895$\pm$0.138,19.0
boiling\_water\_1,0.846$\pm$0.196,13.0
boiling\_water\_2,0.808$\pm$0.151,26.0
calm\_water,0.929$\pm$0.135,14.0
calm\_water\_2,1.0$\pm$0.0,23.0
calm\_water\_3,1.0$\pm$0.0,22.0
calm\_water\_4,0.875$\pm$0.162,16.0
calm\_water\_5,1.0$\pm$0.0,20.0
calm\_water\_6,0.913$\pm$0.115,23.0
candle\_flame,0.944$\pm$0.106,18.0
candy\_1,0.765$\pm$0.202,17.0
candy\_2,0.864$\pm$0.143,22.0
coral,0.84$\pm$0.144,25.0
cranberries,0.75$\pm$0.212,16.0
escalator,0.947$\pm$0.1,19.0
fireplace\_1,0.905$\pm$0.126,21.0
fish,0.933$\pm$0.089,30.0
flag,0.875$\pm$0.162,16.0
flag\_2,0.958$\pm$0.08,24.0
flames,0.667$\pm$0.189,24.0
flushing\_water,0.941$\pm$0.112,17.0
fountain\_1,0.609$\pm$0.199,23.0
fountain\_2,0.95$\pm$0.096,20.0
fur,0.818$\pm$0.161,22.0
grass\_1,0.952$\pm$0.091,21.0
grass\_2,1.0$\pm$0.0,30.0
grass\_3,1.0$\pm$0.0,13.0
ink,0.947$\pm$0.1,19.0
lava,0.952$\pm$0.091,21.0
plants,0.9$\pm$0.131,20.0
sea\_1,0.889$\pm$0.145,18.0
sea\_2,0.85$\pm$0.156,20.0
shiny\_circles,0.808$\pm$0.151,26.0
shower\_water\_1,0.941$\pm$0.112,17.0
sky\_clouds\_1,1.0$\pm$0.0,24.0
sky\_clouds\_2,0.941$\pm$0.112,17.0
smoke\_1,0.867$\pm$0.172,15.0
smoke\_2,0.667$\pm$0.239,15.0
smoke\_3,1.0$\pm$0.0,18.0
smoke\_plume\_1,1.0$\pm$0.0,19.0
snake\_1,0.941$\pm$0.112,17.0
snake\_2,0.958$\pm$0.08,24.0
snake\_3,0.957$\pm$0.083,23.0
snake\_4,1.0$\pm$0.0,25.0
snake\_5,0.909$\pm$0.12,22.0
tv\_static,0.684$\pm$0.209,19.0
underwater\_vegetation\_1,0.857$\pm$0.183,14.0
water\_1,0.929$\pm$0.135,14.0
water\_4,0.778$\pm$0.272,9.0
water\_2,0.867$\pm$0.172,15.0
water\_3,0.737$\pm$0.198,19.0
water\_5,1.0$\pm$0.0,14.0
waterfall,0.947$\pm$0.1,19.0
waterfall\_2,0.941$\pm$0.112,17.0
