Name,Accuracy,Sample size
ants,0.636$\pm$0.201,22.0
bamboo,0.95$\pm$0.096,20.0
birds,0.867$\pm$0.122,30.0
boiling\_water\_1,0.97$\pm$0.058,33.0
boiling\_water\_2,0.731$\pm$0.17,26.0
calm\_water,0.75$\pm$0.19,20.0
calm\_water\_2,0.652$\pm$0.195,23.0
calm\_water\_3,0.824$\pm$0.181,17.0
calm\_water\_4,0.875$\pm$0.132,24.0
calm\_water\_5,0.708$\pm$0.182,24.0
calm\_water\_6,0.519$\pm$0.188,27.0
candle\_flame,1.0$\pm$0.0,30.0
candy\_1,0.938$\pm$0.119,16.0
candy\_2,0.652$\pm$0.195,23.0
coral,0.773$\pm$0.175,22.0
cranberries,0.548$\pm$0.175,31.0
escalator,0.933$\pm$0.126,15.0
fireplace\_1,1.0$\pm$0.0,27.0
fish,0.696$\pm$0.188,23.0
flag,1.0$\pm$0.0,19.0
flag\_2,1.0$\pm$0.0,22.0
flames,0.889$\pm$0.119,27.0
flushing\_water,0.92$\pm$0.106,25.0
fountain\_1,0.788$\pm$0.139,33.0
fountain\_2,0.905$\pm$0.126,21.0
fur,0.737$\pm$0.198,19.0
grass\_1,0.735$\pm$0.148,34.0
grass\_2,1.0$\pm$0.0,18.0
grass\_3,1.0$\pm$0.0,26.0
ink,0.808$\pm$0.151,26.0
lava,0.593$\pm$0.185,27.0
plants,0.806$\pm$0.139,31.0
sea\_1,0.857$\pm$0.15,21.0
sea\_2,0.75$\pm$0.19,20.0
shiny\_circles,0.9$\pm$0.131,20.0
shower\_water\_1,0.952$\pm$0.091,21.0
sky\_clouds\_1,0.652$\pm$0.195,23.0
sky\_clouds\_2,0.92$\pm$0.106,25.0
smoke\_1,0.895$\pm$0.138,19.0
smoke\_2,0.5$\pm$0.173,32.0
smoke\_3,0.931$\pm$0.092,29.0
smoke\_plume\_1,0.84$\pm$0.144,25.0
snake\_1,0.905$\pm$0.126,21.0
snake\_2,0.852$\pm$0.134,27.0
snake\_3,0.913$\pm$0.115,23.0
snake\_4,0.917$\pm$0.111,24.0
snake\_5,0.923$\pm$0.102,26.0
tv\_static,0.227$\pm$0.175,22.0
underwater\_vegetation\_1,0.813$\pm$0.191,16.0
water\_1,0.571$\pm$0.212,21.0
water\_4,0.706$\pm$0.153,34.0
water\_2,0.667$\pm$0.202,21.0
water\_3,0.771$\pm$0.139,35.0
water\_5,0.65$\pm$0.209,20.0
waterfall,0.696$\pm$0.188,23.0
waterfall\_2,0.37$\pm$0.182,27.0
