Name,Accuracy,Sample size
ants,0.714$\pm$0.193,21.0
bamboo,0.842$\pm$0.164,19.0
birds,0.615$\pm$0.187,26.0
boiling\_water\_1,0.846$\pm$0.196,13.0
boiling\_water\_2,0.7$\pm$0.164,30.0
calm\_water,0.615$\pm$0.187,26.0
calm\_water\_2,0.622$\pm$0.156,37.0
calm\_water\_3,0.667$\pm$0.169,30.0
calm\_water\_4,0.65$\pm$0.209,20.0
calm\_water\_5,0.591$\pm$0.205,22.0
calm\_water\_6,0.643$\pm$0.177,28.0
candle\_flame,1.0$\pm$0.0,25.0
candy\_1,0.788$\pm$0.139,33.0
candy\_2,0.727$\pm$0.186,22.0
coral,0.826$\pm$0.155,23.0
cranberries,0.593$\pm$0.185,27.0
escalator,0.696$\pm$0.188,23.0
fireplace\_1,0.897$\pm$0.111,29.0
fish,0.656$\pm$0.165,32.0
flag,0.964$\pm$0.069,28.0
flag\_2,1.0$\pm$0.0,18.0
flames,0.913$\pm$0.115,23.0
flushing\_water,0.552$\pm$0.181,29.0
fountain\_1,0.808$\pm$0.151,26.0
fountain\_2,0.815$\pm$0.147,27.0
fur,0.621$\pm$0.177,29.0
grass\_1,0.667$\pm$0.202,21.0
grass\_2,0.767$\pm$0.151,30.0
grass\_3,0.95$\pm$0.096,20.0
ink,0.679$\pm$0.173,28.0
lava,0.556$\pm$0.23,18.0
plants,0.652$\pm$0.195,23.0
sea\_1,0.826$\pm$0.155,23.0
sea\_2,0.581$\pm$0.174,31.0
shiny\_circles,0.8$\pm$0.175,20.0
shower\_water\_1,0.75$\pm$0.16,28.0
sky\_clouds\_1,0.613$\pm$0.171,31.0
sky\_clouds\_2,0.97$\pm$0.058,33.0
smoke\_1,0.741$\pm$0.165,27.0
smoke\_2,0.6$\pm$0.215,20.0
smoke\_3,0.938$\pm$0.119,16.0
smoke\_plume\_1,0.81$\pm$0.168,21.0
snake\_1,0.826$\pm$0.155,23.0
snake\_2,0.813$\pm$0.191,16.0
snake\_3,0.917$\pm$0.111,24.0
snake\_4,0.714$\pm$0.193,21.0
snake\_5,0.889$\pm$0.103,36.0
tv\_static,0.423$\pm$0.19,26.0
underwater\_vegetation\_1,0.579$\pm$0.222,19.0
water\_1,0.667$\pm$0.169,30.0
water\_4,0.652$\pm$0.195,23.0
water\_2,0.52$\pm$0.196,25.0
water\_3,0.75$\pm$0.173,24.0
water\_5,0.586$\pm$0.179,29.0
waterfall,0.688$\pm$0.227,16.0
waterfall\_2,0.583$\pm$0.197,24.0
