Name,Accuracy,Sample size
ants,0.536$\pm$0.185,28.0
bamboo,0.906$\pm$0.101,32.0
birds,0.542$\pm$0.199,24.0
boiling\_water\_1,0.714$\pm$0.193,21.0
boiling\_water\_2,0.87$\pm$0.138,23.0
calm\_water,0.636$\pm$0.164,33.0
calm\_water\_2,0.7$\pm$0.201,20.0
calm\_water\_3,0.7$\pm$0.201,20.0
calm\_water\_4,0.767$\pm$0.151,30.0
calm\_water\_5,0.609$\pm$0.199,23.0
calm\_water\_6,0.5$\pm$0.2,24.0
candle\_flame,0.909$\pm$0.12,22.0
candy\_1,0.9$\pm$0.131,20.0
candy\_2,0.636$\pm$0.164,33.0
coral,0.815$\pm$0.147,27.0
cranberries,0.64$\pm$0.188,25.0
escalator,0.967$\pm$0.064,30.0
fireplace\_1,0.917$\pm$0.111,24.0
fish,0.652$\pm$0.195,23.0
flag,0.968$\pm$0.062,31.0
flag\_2,0.923$\pm$0.102,26.0
flames,0.889$\pm$0.119,27.0
flushing\_water,0.871$\pm$0.118,31.0
fountain\_1,0.833$\pm$0.149,24.0
fountain\_2,1.0$\pm$0.0,14.0
fur,0.75$\pm$0.15,32.0
grass\_1,0.792$\pm$0.162,24.0
grass\_2,0.88$\pm$0.127,25.0
grass\_3,0.958$\pm$0.08,24.0
ink,0.724$\pm$0.163,29.0
lava,0.733$\pm$0.158,30.0
plants,0.767$\pm$0.151,30.0
sea\_1,0.955$\pm$0.087,22.0
sea\_2,0.75$\pm$0.173,24.0
shiny\_circles,0.609$\pm$0.199,23.0
shower\_water\_1,1.0$\pm$0.0,24.0
sky\_clouds\_1,0.72$\pm$0.176,25.0
sky\_clouds\_2,0.957$\pm$0.083,23.0
smoke\_1,0.471$\pm$0.237,17.0
smoke\_2,0.72$\pm$0.176,25.0
smoke\_3,0.821$\pm$0.142,28.0
smoke\_plume\_1,0.963$\pm$0.071,27.0
snake\_1,0.88$\pm$0.127,25.0
snake\_2,0.958$\pm$0.08,24.0
snake\_3,0.87$\pm$0.138,23.0
snake\_4,1.0$\pm$0.0,15.0
snake\_5,0.875$\pm$0.132,24.0
tv\_static,0.615$\pm$0.187,26.0
underwater\_vegetation\_1,0.821$\pm$0.142,28.0
water\_1,0.727$\pm$0.186,22.0
water\_4,0.826$\pm$0.155,23.0
water\_2,0.739$\pm$0.179,23.0
water\_3,0.833$\pm$0.149,24.0
water\_5,0.759$\pm$0.156,29.0
waterfall,0.792$\pm$0.162,24.0
waterfall\_2,0.75$\pm$0.16,28.0
