Name,Accuracy,Sample size
ants,0.963$\pm$0.071,27.0
bamboo,1.0$\pm$0.0,23.0
birds,0.947$\pm$0.1,19.0
boiling\_water\_1,0.96$\pm$0.077,25.0
boiling\_water\_2,0.95$\pm$0.096,20.0
calm\_water,0.962$\pm$0.074,26.0
calm\_water\_2,1.0$\pm$0.0,17.0
calm\_water\_3,0.941$\pm$0.112,17.0
calm\_water\_4,1.0$\pm$0.0,30.0
calm\_water\_5,0.857$\pm$0.15,21.0
calm\_water\_6,1.0$\pm$0.0,21.0
candle\_flame,1.0$\pm$0.0,16.0
candy\_1,0.905$\pm$0.126,21.0
candy\_2,1.0$\pm$0.0,14.0
coral,1.0$\pm$0.0,18.0
cranberries,0.958$\pm$0.08,24.0
escalator,1.0$\pm$0.0,36.0
fireplace\_1,0.867$\pm$0.172,15.0
fish,0.87$\pm$0.138,23.0
flag,0.958$\pm$0.08,24.0
flag\_2,1.0$\pm$0.0,15.0
flames,0.789$\pm$0.183,19.0
flushing\_water,1.0$\pm$0.0,14.0
fountain\_1,0.913$\pm$0.115,23.0
fountain\_2,0.952$\pm$0.091,21.0
fur,0.955$\pm$0.087,22.0
grass\_1,1.0$\pm$0.0,18.0
grass\_2,0.913$\pm$0.115,23.0
grass\_3,0.923$\pm$0.145,13.0
ink,1.0$\pm$0.0,20.0
lava,1.0$\pm$0.0,17.0
plants,1.0$\pm$0.0,16.0
sea\_1,1.0$\pm$0.0,19.0
sea\_2,0.955$\pm$0.087,22.0
shiny\_circles,0.88$\pm$0.127,25.0
shower\_water\_1,0.929$\pm$0.135,14.0
sky\_clouds\_1,1.0$\pm$0.0,19.0
sky\_clouds\_2,1.0$\pm$0.0,21.0
smoke\_1,0.889$\pm$0.145,18.0
smoke\_2,1.0$\pm$0.0,19.0
smoke\_3,0.96$\pm$0.077,25.0
smoke\_plume\_1,1.0$\pm$0.0,21.0
snake\_1,1.0$\pm$0.0,22.0
snake\_2,1.0$\pm$0.0,18.0
snake\_3,1.0$\pm$0.0,12.0
snake\_4,0.957$\pm$0.083,23.0
snake\_5,1.0$\pm$0.0,23.0
tv\_static,0.778$\pm$0.192,18.0
underwater\_vegetation\_1,1.0$\pm$0.0,13.0
water\_1,0.929$\pm$0.095,28.0
water\_4,1.0$\pm$0.0,18.0
water\_2,1.0$\pm$0.0,18.0
water\_3,0.897$\pm$0.111,29.0
water\_5,1.0$\pm$0.0,20.0
waterfall,0.85$\pm$0.156,20.0
waterfall\_2,1.0$\pm$0.0,24.0
