Name,Accuracy,Sample size
ants,0.333$\pm$0.161,33.0
bamboo,0.786$\pm$0.215,14.0
birds,0.786$\pm$0.152,28.0
boiling\_water\_1,0.88$\pm$0.127,25.0
boiling\_water\_2,0.842$\pm$0.164,19.0
calm\_water,0.571$\pm$0.212,21.0
calm\_water\_2,0.621$\pm$0.177,29.0
calm\_water\_3,0.5$\pm$0.245,16.0
calm\_water\_4,0.654$\pm$0.183,26.0
calm\_water\_5,0.773$\pm$0.175,22.0
calm\_water\_6,0.773$\pm$0.175,22.0
candle\_flame,0.75$\pm$0.212,16.0
candy\_1,0.839$\pm$0.129,31.0
candy\_2,0.429$\pm$0.212,21.0
coral,0.81$\pm$0.168,21.0
cranberries,0.318$\pm$0.195,22.0
escalator,0.733$\pm$0.158,30.0
fireplace\_1,0.952$\pm$0.091,21.0
fish,0.65$\pm$0.209,20.0
flag,1.0$\pm$0.0,23.0
flag\_2,1.0$\pm$0.0,19.0
flames,0.909$\pm$0.12,22.0
flushing\_water,0.565$\pm$0.203,23.0
fountain\_1,0.688$\pm$0.227,16.0
fountain\_2,0.826$\pm$0.155,23.0
fur,0.538$\pm$0.192,26.0
grass\_1,0.778$\pm$0.192,18.0
grass\_2,0.667$\pm$0.202,21.0
grass\_3,0.903$\pm$0.104,31.0
ink,0.714$\pm$0.167,28.0
lava,0.346$\pm$0.183,26.0
plants,0.667$\pm$0.202,21.0
sea\_1,0.769$\pm$0.162,26.0
sea\_2,0.625$\pm$0.168,32.0
shiny\_circles,0.741$\pm$0.165,27.0
shower\_water\_1,0.903$\pm$0.104,31.0
sky\_clouds\_1,0.737$\pm$0.198,19.0
sky\_clouds\_2,0.938$\pm$0.119,16.0
smoke\_1,0.731$\pm$0.17,26.0
smoke\_2,0.727$\pm$0.186,22.0
smoke\_3,0.833$\pm$0.149,24.0
smoke\_plume\_1,0.783$\pm$0.169,23.0
snake\_1,0.704$\pm$0.172,27.0
snake\_2,0.708$\pm$0.182,24.0
snake\_3,0.773$\pm$0.175,22.0
snake\_4,0.815$\pm$0.147,27.0
snake\_5,0.947$\pm$0.1,19.0
tv\_static,0.63$\pm$0.182,27.0
underwater\_vegetation\_1,0.5$\pm$0.231,18.0
water\_1,0.32$\pm$0.183,25.0
water\_4,0.586$\pm$0.179,29.0
water\_2,0.64$\pm$0.188,25.0
water\_3,0.741$\pm$0.165,27.0
water\_5,0.667$\pm$0.218,18.0
waterfall,0.586$\pm$0.179,29.0
waterfall\_2,0.364$\pm$0.201,22.0
