Name,Accuracy,Sample size
ants,0.9$\pm$0.186,10.0
bamboo,0.944$\pm$0.106,18.0
birds,0.652$\pm$0.195,23.0
boiling\_water\_1,0.895$\pm$0.138,19.0
boiling\_water\_2,0.889$\pm$0.119,27.0
calm\_water,0.963$\pm$0.071,27.0
calm\_water\_2,1.0$\pm$0.0,21.0
calm\_water\_3,1.0$\pm$0.0,22.0
calm\_water\_4,0.947$\pm$0.1,19.0
calm\_water\_5,0.897$\pm$0.111,29.0
calm\_water\_6,1.0$\pm$0.0,21.0
candle\_flame,1.0$\pm$0.0,23.0
candy\_1,0.87$\pm$0.138,23.0
candy\_2,0.875$\pm$0.132,24.0
coral,0.957$\pm$0.083,23.0
cranberries,0.917$\pm$0.111,24.0
escalator,1.0$\pm$0.0,17.0
fireplace\_1,0.765$\pm$0.202,17.0
fish,0.957$\pm$0.083,23.0
flag,1.0$\pm$0.0,18.0
flag\_2,1.0$\pm$0.0,29.0
flames,0.75$\pm$0.19,20.0
flushing\_water,0.88$\pm$0.127,25.0
fountain\_1,0.65$\pm$0.209,20.0
fountain\_2,1.0$\pm$0.0,11.0
fur,0.95$\pm$0.096,20.0
grass\_1,0.938$\pm$0.119,16.0
grass\_2,0.92$\pm$0.106,25.0
grass\_3,1.0$\pm$0.0,21.0
ink,0.962$\pm$0.074,26.0
lava,1.0$\pm$0.0,21.0
plants,1.0$\pm$0.0,20.0
sea\_1,1.0$\pm$0.0,23.0
sea\_2,0.857$\pm$0.183,14.0
shiny\_circles,0.8$\pm$0.175,20.0
shower\_water\_1,0.857$\pm$0.15,21.0
sky\_clouds\_1,1.0$\pm$0.0,24.0
sky\_clouds\_2,1.0$\pm$0.0,25.0
smoke\_1,0.773$\pm$0.175,22.0
smoke\_2,0.957$\pm$0.083,23.0
smoke\_3,1.0$\pm$0.0,22.0
smoke\_plume\_1,0.958$\pm$0.08,24.0
snake\_1,1.0$\pm$0.0,21.0
snake\_2,0.917$\pm$0.111,24.0
snake\_3,1.0$\pm$0.0,19.0
snake\_4,0.947$\pm$0.1,19.0
snake\_5,1.0$\pm$0.0,15.0
tv\_static,0.588$\pm$0.234,17.0
underwater\_vegetation\_1,0.958$\pm$0.08,24.0
water\_1,0.778$\pm$0.192,18.0
water\_4,1.0$\pm$0.0,18.0
water\_2,1.0$\pm$0.0,19.0
water\_3,0.905$\pm$0.126,21.0
water\_5,0.944$\pm$0.106,18.0
waterfall,0.933$\pm$0.126,15.0
waterfall\_2,0.88$\pm$0.127,25.0
