Name,Accuracy,Sample size
ants,0.913$\pm$0.115,23.0
bamboo,1.0$\pm$0.0,17.0
birds,0.933$\pm$0.126,15.0
boiling\_water\_1,0.957$\pm$0.083,23.0
boiling\_water\_2,0.714$\pm$0.193,21.0
calm\_water,1.0$\pm$0.0,13.0
calm\_water\_2,0.966$\pm$0.066,29.0
calm\_water\_3,0.957$\pm$0.083,23.0
calm\_water\_4,1.0$\pm$0.0,25.0
calm\_water\_5,1.0$\pm$0.0,16.0
calm\_water\_6,0.958$\pm$0.08,24.0
candle\_flame,1.0$\pm$0.0,28.0
candy\_1,0.938$\pm$0.119,16.0
candy\_2,1.0$\pm$0.0,22.0
coral,1.0$\pm$0.0,26.0
cranberries,0.926$\pm$0.099,27.0
escalator,1.0$\pm$0.0,15.0
fireplace\_1,0.923$\pm$0.102,26.0
fish,0.944$\pm$0.106,18.0
flag,1.0$\pm$0.0,20.0
flag\_2,1.0$\pm$0.0,26.0
flames,0.722$\pm$0.207,18.0
flushing\_water,0.727$\pm$0.186,22.0
fountain\_1,0.769$\pm$0.229,13.0
fountain\_2,0.947$\pm$0.1,19.0
fur,1.0$\pm$0.0,18.0
grass\_1,0.917$\pm$0.111,24.0
grass\_2,1.0$\pm$0.0,10.0
grass\_3,0.958$\pm$0.08,24.0
ink,0.96$\pm$0.077,25.0
lava,0.941$\pm$0.112,17.0
plants,1.0$\pm$0.0,15.0
sea\_1,1.0$\pm$0.0,21.0
sea\_2,1.0$\pm$0.0,17.0
shiny\_circles,0.75$\pm$0.19,20.0
shower\_water\_1,0.923$\pm$0.102,26.0
sky\_clouds\_1,0.947$\pm$0.1,19.0
sky\_clouds\_2,0.941$\pm$0.112,17.0
smoke\_1,0.846$\pm$0.139,26.0
smoke\_2,1.0$\pm$0.0,29.0
smoke\_3,1.0$\pm$0.0,19.0
smoke\_plume\_1,0.964$\pm$0.069,28.0
snake\_1,1.0$\pm$0.0,22.0
snake\_2,0.962$\pm$0.074,26.0
snake\_3,1.0$\pm$0.0,32.0
snake\_4,1.0$\pm$0.0,20.0
snake\_5,1.0$\pm$0.0,18.0
tv\_static,0.64$\pm$0.188,25.0
underwater\_vegetation\_1,0.952$\pm$0.091,21.0
water\_1,0.952$\pm$0.091,21.0
water\_4,0.889$\pm$0.119,27.0
water\_2,0.962$\pm$0.074,26.0
water\_3,0.938$\pm$0.119,16.0
water\_5,1.0$\pm$0.0,21.0
waterfall,0.952$\pm$0.091,21.0
waterfall\_2,0.947$\pm$0.1,19.0
